time,Temperature.2M,relHumidity.2M,totPrecip.s,Pressure
2024-01-01,15.34,80,0.07,100.87
2024-01-02,15.15,82.38,0.14,100.92
2024-01-03,14.81,79,0.05,100.9
2024-01-04,14.83,74.12,0.02,100.81
2024-01-05,14.58,67.19,0,100.92
2024-01-06,15.43,68.88,0.01,100.87
2024-01-07,15.75,60,0.01,100.56
2024-01-08,15.4,46.31,0,100.6
2024-01-09,12.33,43.88,0,100.51
2024-01-10,12.3,53,0.02,100.59
2024-01-11,12.97,72.88,0.4,100.67
2024-01-12,13.38,62.19,0.08,100.48
2024-01-13,13.15,52.12,0.05,100.09
2024-01-14,12.5,68.5,0.21,100.52
2024-01-15,12.6,65.75,0.02,101.06
2024-01-16,12.6,50.81,0,101.06
2024-01-17,13.8,41.62,0,100.9
2024-01-18,13.94,44.56,0,100.95
2024-01-19,14.1,55.69,0,100.9
2024-01-20,16.85,47.12,0,100.81
2024-01-21,17.3,35.88,0,100.42
2024-01-22,15.81,52.62,0.07,100.35
2024-01-23,15.2,72.81,0.81,100.75
2024-01-24,13.47,66.31,0.35,100.83
2024-01-25,13.3,69.12,0.56,100.71
2024-01-26,13.42,75.44,13.9,100.6
2024-01-27,12.09,72.81,6.89,100.84
2024-01-28,12.4,65.5,2.44,100.89
2024-01-29,12.05,76,5.53,100.77
2024-01-30,10.19,67.62,0.39,100.94
2024-01-31,9.76,67.38,2.44,100.97
2024-02-01,9.4,73.94,0.21,100.85
2024-02-02,11.52,77.5,4.73,100.9
2024-02-03,10.82,63.69,0,101.08
2024-02-04,10.87,65.25,0.11,101.19
2024-02-05,11.94,76.44,0.21,101.25
2024-02-06,12.67,72.12,0.2,101.42
2024-02-07,13.5,75.81,0.57,101.24
2024-02-08,13.76,75.62,0.21,100.79
2024-02-09,14.05,73.25,0.21,100.61
2024-02-10,13.43,76.31,0.02,100.78
2024-02-11,14.56,68.38,0.07,100.88
2024-02-12,15.9,49.44,0,100.35
2024-02-13,17.25,51.12,0.03,99.7
2024-02-14,13.85,65.81,0.11,99.87
2024-02-15,13.73,62.69,0.8,99.98
2024-02-16,13.65,64.94,1.02,100.38
2024-02-17,13.34,66.88,0.32,100.93
2024-02-18,13.91,71.88,0.09,101.05
2024-02-19,13.13,69.5,0.04,100.86
2024-02-20,13.39,64.81,0,100.87
2024-02-21,13.88,70.12,0.01,100.87
2024-02-22,13.58,74,0.01,100.83
2024-02-23,13.8,78.38,0.02,100.73
2024-02-24,15.44,72.06,0.29,100.78
2024-02-25,15.09,72.25,0.02,100.76
2024-02-26,16.49,54.31,0,100.14
2024-02-27,15.3,73.19,0,100.36
2024-02-28,15.91,69.69,0,100.68
2024-02-29,17.55,50.31,0,100.52
2024-03-01,20.16,30.94,0,100.11
2024-03-02,18.07,45.25,0,100.22
2024-03-03,15.58,70.12,0.06,100.47
2024-03-04,15.43,69.88,0.09,100.49
2024-03-05,17.26,51.06,0,100.34
2024-03-06,16.81,58.06,0.07,100.44
2024-03-07,15.43,67.44,0.01,100.64
2024-03-08,15.55,65.44,0.01,100.58
2024-03-09,15.83,63.06,0,100.48
2024-03-10,14.64,68.88,0,100.5
2024-03-11,15.05,66.5,0,100.9
2024-03-12,18.19,45,0,100.49
2024-03-13,18.85,46.88,0.07,100.21
2024-03-14,16.69,66.81,0.03,100.42
2024-03-15,16.19,63,0,100.59
2024-03-16,16.04,63.81,0,100.59
2024-03-17,17.4,64.19,0,99.96
2024-03-18,15.37,67.81,1.42,99.9
2024-03-19,15.76,59.19,0.1,100.26
2024-03-20,17.66,47.81,0,100.5
2024-03-21,18.37,44.12,0.08,100.29
2024-03-22,14.45,58,0,100.32
2024-03-23,15.26,56.19,0,100.09
2024-03-24,14.84,63,0.38,99.97
2024-03-25,14.57,51.44,0,100.54
2024-03-26,19.09,29.5,0,100.7
2024-03-27,22.94,23.31,0,100.44
2024-03-28,24.34,22.75,0,100.25
2024-03-29,22.22,57.5,0.11,100.23
2024-03-30,20.67,66.94,0.21,100.38
2024-03-31,23.07,59.25,0.09,100.56
2024-04-01,23.71,52.88,0.08,100.37
2024-04-02,22.71,61.44,0.25,100.16
2024-04-03,22.2,57.12,0.16,100.2
2024-04-04,22.13,42.19,0.03,100.36
2024-04-05,20.77,54.81,0.04,100.44
2024-04-06,19.12,59.31,0,100.28
2024-04-07,19.48,55.5,0.09,99.92
2024-04-08,18.8,59.94,0.91,99.81
2024-04-09,18.46,56.94,0.1,99.86
2024-04-10,18.49,64.44,0.09,100.27
2024-04-11,19.65,62.62,0.04,100.45
2024-04-12,19.9,62.5,0.1,100.41
2024-04-13,20.66,66.62,0.6,100.36
2024-04-14,21.19,67.12,0.53,100.24
2024-04-15,20.67,62.44,0.32,100.3
2024-04-16,22.45,57.5,0.04,100.24
2024-04-17,26.78,32,0,99.7
2024-04-18,23.84,45.81,0,99.96
2024-04-19,21.23,62.19,0.06,100.07
2024-04-20,21.83,59.56,0.01,99.97
2024-04-21,21.11,56.5,0,100.36
2024-04-22,21.51,49.62,0,100.57
2024-04-23,25.88,35.44,0,100.28
2024-04-24,30.33,15.69,0,99.69
2024-04-25,28.28,26,0,99.44
2024-04-26,22.28,62.56,0,99.78
2024-04-27,21.83,62.31,0.05,99.84
2024-04-28,22.3,65.25,0.32,100
2024-04-29,22.22,62.62,0.13,99.98
2024-04-30,21.95,56.19,0.19,99.86
2024-05-01,22.76,61.75,0.14,99.88
2024-05-02,22.3,55.12,0.01,99.9
2024-05-03,24,50.06,0,99.94
2024-05-04,23.66,53.12,0.01,100.05
2024-05-05,22.02,48.5,0,99.89
2024-05-06,20.87,54.44,0.07,100.11
2024-05-07,20.77,51.19,0,100.41
2024-05-08,21.26,49.62,0,100.31
2024-05-09,25.11,44.94,0,99.8
2024-05-10,28.5,24.69,1.26,99.56
2024-05-11,25.08,48.19,0.02,99.88
2024-05-12,22.75,56.81,0.04,100.14
2024-05-13,21.51,55.75,0.06,100.16
2024-05-14,21.28,56.62,0,100.17
2024-05-15,21.47,59.19,0.01,100.4
2024-05-16,22.61,55,0,100.6
2024-05-17,25.27,39,0,100.58
2024-05-18,28.4,28.75,0,100.27
2024-05-19,29.1,25.31,0,100.02
2024-05-20,31.12,27.38,0,99.77
2024-05-21,27.96,45.69,0,100
2024-05-22,27.94,44.88,0,100.03
2024-05-23,29.87,34.88,0,99.93
2024-05-24,25.08,45.69,0,100.06
2024-05-25,24.83,49.75,0.01,100.04
2024-05-26,27.08,36.56,0.18,99.96
2024-05-27,29.26,31.44,0,99.74
2024-05-28,24.37,54.62,0,100.06
2024-05-29,24.49,56.69,0.01,100.05
2024-05-30,24.04,50.88,0,100.2
2024-05-31,24.87,44.25,0,100.46
2024-06-01,27.49,29.81,0,100.43
2024-06-02,25.97496414,45.34492111,-0.117758743,100.1569901
2024-06-03,27.86737251,40.23135757,-0.271105677,100.0387344
2024-06-04,29.69830894,35.67318726,-0.429781914,99.91294098
2024-06-05,31.34251595,31.95572853,-0.588487208,99.78565216
2024-06-06,32.41014862,29.90323067,-0.717548728,99.68336487
2024-06-07,32.57101822,30.16293716,-0.787999988,99.63098907
2024-06-08,31.61162567,32.95190811,-0.770622611,99.64713287
2024-06-09,29.68894577,37.81228256,-0.666872561,99.72689819
2024-06-10,27.19950485,43.78696442,-0.498542428,99.84696198
2024-06-11,24.50556374,49.9870224,-0.291329384,99.9806366
2024-06-12,21.75776482,56.31441116,-0.056175128,100.1212387
